ID;name;category;price;tax_rate;description;images;stan;typ;attributes;quantity
W2.802;AŻUROWA złota zawieszka Wisiorek PREZENT! 2.802;Wisiorki;129;23;"<p class=""nazwa""><strong>AŻUROWA ZAWIESZKA</strong></p>
<p class=""nazwa""><strong><br /></strong></p>
<p class=""nazwa"" style=""margin: 3px;"">Wykonany z największą precyzją złoty wisiorek o oryginalnym wzorze. Prezentuje się bardzo atrakcyjnie. Podkreśli charakter każdej stylizacji.</p>
<p class=""opisprzedmiotu""> </p>
<p class=""opisprzedmiotu""><strong >Wzór nr: 2.802 (86)</strong></p>
<ul>
<li><span>kolor złota: żółty</span></li>
<li><span>próba złota: 333</span></li>
<li><span>waga: 0,77-0,87g</span></li>
<li><span>średnica 14,58mm</span></li>
<li><span>nacięcie diamentowe</span></li>
<br /> 
</ul>";http://www.galerieallegro.pl/zdjecia/z768/7684639/big/1.jpg,http://www.galerieallegro.pl/zdjecia/z768/7684639/big/2.jpg;new;Klasyczne,Orientalne,Rękodzieło,Wyrób jubilerski;Kamień:Bez kamienia,Kształt:Kółko,Materiał:Złoto,Rodzaj bigla:;13
K3.2353;Złote kolczyki wzór INFINITY NIESKOŃCZONOŚĆ 3.2353;Kolczyki;99;23;"<p class=""nazwa"" style=""margin: 3px;""><span ><strong>ZŁOTE KOLCZYKI</strong></span></p>
<p class=""nazwa"" style=""margin: 3px;""><span ><strong><br /></strong></span></p>
<p class=""nazwa"" style=""margin: 3px;""><span >Bardzo modny wzór nieskończoności. </span></p>
<p class=""nazwa"" style=""margin: 3px;""><span >Wygodne zapięcie na sztyft.<br />Świetnie sprawdzą się jako prezent. </span></p>
<p class=""opisprzedmiotu"" style=""margin-top: 0px; margin-bottom: 3px; line-height: 17.5px;""> </p>
<p class=""opisprzedmiotu"" style=""margin-top: 0px; margin-bottom: 3px; line-height: 17.5px;""><strong >Wzór nr: </strong><span ><strong>3.2353(202)</strong></span></p>
<p class=""opisprzedmiotu"" style=""margin-top: 0px; margin-bottom: 3px; line-height: 17.5px;""> </p>
<ul >
<li>kolor złota: żółte</li>
<li>próba: 333</li>
<li>waga: 0,63-0,67g</li>
<li>wielkość orientacyjna: 4,3 x 9,9 mm</li>
</ul>";http://www.galerieallegro.pl/zdjecia/z845/8452560/big/1.jpg,http://www.galerieallegro.pl/zdjecia/z845/8452560/big/2.jpg,http://www.galerieallegro.pl/zdjecia/z845/8452560/big/3.jpg;new;Klasyczne,Rękodzieło,Wyrób jubilerski;Kamień:Bez kamienia,Kształt:,Materiał:Złoto,Rodzaj bigla:Sztyft;9
K3.2312;ZŁOTE KOLCZYKI z Cyrkonią Złoto Piękny wzór 3.2312;Kolczyki;259;23;"<p class=""nazwa"" style=""margin: 3px;""><span ><strong>Złote kolczyki z Cyrkonią</strong></span></p>
<p class=""nazwa"" style=""margin: 3px;""> </p>
<p class=""nazwa"" style=""margin: 3px;""><span >Piękne i kobiece kolczyki z kamieniem.<br />Nowoczesny wzór z wygodnym, angielskim zapięciem. Prezentują się bardzo atrakcyjnie i modnie. <br />Stanowią doskonałe dopełnienie każdej stylizacji. </span></p>
<p class=""opisprzedmiotu"" style=""margin-top: 0px; margin-bottom: 3px; line-height: 17.5px;""> </p>
<p class=""opisprzedmiotu"" style=""margin-top: 0px; margin-bottom: 3px; line-height: 17.5px;""><strong >Wzór nr: 3.2312(191)</strong></p>
<p class=""opisprzedmiotu"" style=""margin-top: 0px; margin-bottom: 3px; line-height: 17.5px;""> </p>
<ul >
<li>kolor złota: żółte</li>
<li>próba: 333</li>
<li>waga: 1,61-1,68g</li>
<li>wielkość kamieni: 2,75mm</li>
<li>ilość kamieni w kolczyku: 1</li>
<li>nazwa kamienia: Cyrkonia</li>
<li>rodowany element przodu</li>
<li>wielkość orientacyjna: 14,5x5,5 mm</li>
</ul>";http://www.galerieallegro.pl/zdjecia/z845/8452455/big/1.jpg,http://www.galerieallegro.pl/zdjecia/z845/8452455/big/2.jpg,http://www.galerieallegro.pl/zdjecia/z845/8452455/big/3.jpg;new;Klasyczne,Rękodzieło,Wyrób jubilerski;Kamień:Cyrkonia,Kształt:,Materiał:Złoto,Rodzaj bigla:Angielski;5
K3.2123;ZŁOTE KOLCZYKI Cyrkonie PREZENT 3.2123(126);Kolczyki;249;23;"<p class=""nazwa"" style=""margin: 3px;""><span ><strong>Złote kolczyki z kamieniami</strong></span></p>
<p class=""nazwa"" style=""margin: 3px;""> </p>
<p class=""nazwa"" style=""margin: 3px;""><span >Piękne i kobiece kolczyki z cyrkoniami.<br />Delikatny a zarazem oryginalny wzór z wygodnym, angielskim zapięciem. Prezentują się bardzo atrakcyjnie. <br />Świetnie sprawdzą się jako prezent. </span></p>
<p class=""opisprzedmiotu"" style=""margin-top: 0px; margin-bottom: 3px; line-height: 17.5px;""> </p>
<p class=""opisprzedmiotu"" style=""margin-top: 0px; margin-bottom: 3px; line-height: 17.5px;""><strong >Wzór nr: </strong><span ><strong>3.2123(126)</strong></span></p>
<p class=""opisprzedmiotu"" style=""margin-top: 0px; margin-bottom: 3px; line-height: 17.5px;""> </p>
<ul >
<li>kolor złota: żółte</li>
<li>próba: 333</li>
<li>waga: 1,45-1,53g</li>
<li>wielkość kamieni: 1,75mm</li>
<li>ilość kamieni: 3 </li>
<li>nazwa kamienia: Cyrkonia</li>
<li>rodowany środkowy pasek</li>
<li>wielkość orientacyjna: 5,1 x 14,1 mm</li>
</ul>";http://www.galerieallegro.pl/zdjecia/z819/8199445/big/1.jpg,http://www.galerieallegro.pl/zdjecia/z819/8199445/big/2.jpg,http://www.galerieallegro.pl/zdjecia/z819/8199445/big/3.jpg;new;Klasyczne,Rękodzieło,Wyrób jubilerski;Kamień:Cyrkonia,Kształt:,Materiał:Złoto,Rodzaj bigla:Angielski;5
K1.188;PIĘKNE ZŁOTE KOLCZYKI z cyrkoniami MARKIZA 1.188;Kolczyki;245;23;"<p class=""nazwa"" style=""margin: 3px;""><span ><strong>Złote kolczyki z kamieniami</strong></span></p>
<p class=""nazwa"" style=""margin: 3px;""><span ><strong>MARKIZA</strong></span></p>
<p class=""nazwa"" style=""margin: 3px;""> </p>
<p class=""nazwa"" style=""margin: 3px;""><span >Starannie wykonane kolczyki z Cyrkoniami. Posiadają wygodne, angielskie zapięcie. Prezentują się elegancko, szlachetnie i kobieco. </span></p>
<p class=""opisprzedmiotu"" style=""margin-top: 0px; margin-bottom: 3px; line-height: 17.5px;""> </p>
<p class=""opisprzedmiotu"" style=""margin-top: 0px; margin-bottom: 3px; line-height: 17.5px;""><strong>Wzór nr: 1.188 (105)</strong></p>
<p class=""opisprzedmiotu"" style=""margin-top: 0px; margin-bottom: 3px; line-height: 17.5px;""> </p>
<ul >
<li>kolor złota: żółte</li>
<li>próba: 333</li>
<li>waga: 1,51-1,56g</li>
<li>wielkość kamienia centralnego: 4mm</li>
<li>wielkość kamieni bocznych: 1,5mm</li>
<li>ilość kamieni: 10</li>
<li>nazwa kamienia: cyrkonia</li>
<li>rodowana oprawa centralnego kamienia</li>
<li>wielkość orientacyjna:<br />śr. 7,4 mm<br />dł. 10 mm </li>
</ul>";http://www.galerieallegro.pl/zdjecia/z766/7668445/big/1.jpg,http://www.galerieallegro.pl/zdjecia/z766/7668445/big/2.jpg,http://www.galerieallegro.pl/zdjecia/z766/7668445/big/3.jpg;new;Klasyczne,Rękodzieło,Wyrób jubilerski;Kamień:Cyrkonia,Kształt:,Materiał:Złoto,Rodzaj bigla:Angielski;3
K3.2343;Urocze złote kolczyki Cyrkonie MAŁE SERCA 3.2343;Kolczyki;99;23;"<p class=""nazwa"" style=""margin: 3px;""><span ><strong>Złote kolczyki z Cyrkoniami</strong></span></p>
<p class=""nazwa"" style=""margin: 3px;""><span ><strong>MAŁE SERDUSZKA</strong></span></p>
<p class=""nazwa"" style=""margin: 3px;""> </p>
<p class=""nazwa"" style=""margin: 3px;"">Subtelne i delikatne kolczyki z wygodnym zapięciem na sztyft. Zdobione trzema małymi kamieniami<br />Doskonale sprawdzą się też jako prezent na każdą okazję.</p>
<p class=""nazwa"" style=""margin: 3px;""><strong><span >ELEGANCKIE PUDEŁECZKO GRATIS !</span></strong></p>
<p class=""opisprzedmiotu"" style=""margin-top: 0px; margin-bottom: 3px; line-height: 17.5px;""> </p>
<p class=""opisprzedmiotu"" style=""margin-top: 0px; margin-bottom: 3px; line-height: 17.5px;""><strong >Wzór nr: </strong><span ><strong>3.2343(137)</strong></span></p>
<p class=""opisprzedmiotu"" style=""margin-top: 0px; margin-bottom: 3px; line-height: 17.5px;""> </p>
<ul >
<li>kolor złota: żółte</li>
<li>próba: 333</li>
<li>waga: 0,57-0,59g</li>
<li>wielkość kamieni: 1 mm</li>
<li>ilość kamieni: 3</li>
<li>nazwa kamienia: cyrkonia</li>
<li>wielkość orientacyjna: 4,9x4 mm</li>
<li>zapięcie na sztyft </li>
</ul>";http://www.galerieallegro.pl/zdjecia/z824/8245477/big/1.jpg,http://www.galerieallegro.pl/zdjecia/z824/8245477/big/2.jpg,http://www.galerieallegro.pl/zdjecia/z824/8245477/big/3.jpg;new;Klasyczne,Rękodzieło,Wyrób jubilerski;Kamień:Cyrkonia,Kształt:,Materiał:Złoto,Rodzaj bigla:Sztyft;3
W2.991;Złota zawieszka Wisiorek Cyrkonie MARKIZA 2.991;Wisiorki;93;23;"<p class=""nazwa""><strong>ZAWIESZKA Z KAMIENIAMI<br />MARKIZA </strong></p>
<p class=""nazwa""><strong><br /></strong></p>
<p class=""nazwa"" style=""margin: 3px;"">Wykonany z największą precyzją złoty wisiorek zdobiony cyrkoniami. Delikatny kształt markizy prezentuje się bardzo subtelnie i atrakcyjnie. <br />Zawieszka świetnie sprawdzi się też jako prezent na każdą okazję.</p>
<p class=""opisprzedmiotu""> </p>
<p class=""opisprzedmiotu""><strong >Wzór nr: 2.991 (93)</strong></p>
<ul>
<li><span>kolor złota: żółty</span></li>
<li><span>próba złota: 333</span></li>
<li><span>waga: 0,54-0,58g</span></li>
<li><span>wielkość kamienia centralnego: <br />Owal 4x3mm</span></li>
<li><span>wielkość kamieni bocznych: 1,5mm</span></li>
<li><span>ilość kamieni: 11</span></li>
<li><span>orientacyjna wielkość: 6,3 x 9,6 mm<br /><br /></span></li>
</ul>";http://www.galerieallegro.pl/zdjecia/z770/7708213/big/1.jpg,http://www.galerieallegro.pl/zdjecia/z770/7708213/big/2.jpg;new;Klasyczne,Rękodzieło,Wyrób jubilerski;Kamień:Cyrkonia,Kształt:Kółko,Materiał:Złoto,Rodzaj bigla:;9
K2.1173;PIĘKNE ZŁOTE KOLCZYKI Z CYRKONIĄ na prezent 2.1173;Kolczyki;139;23;"<p class=""nazwa"" style=""margin: 3px;""><span ><strong>Złote kolczyki z kamieniem</strong></span></p>
<p class=""nazwa"" style=""margin: 3px;""> </p>
<p class=""nazwa"" style=""margin: 3px;""><span >Eleganckie kolczyki zdobione małą, białą cyrkonią. Są wygodne i delikatne. <br />Doskonale sprawdzą się jako prezent.</span></p>
<p class=""opisprzedmiotu"" style=""margin-top: 0px; margin-bottom: 3px; line-height: 17.5px;""> </p>
<p class=""opisprzedmiotu"" style=""margin-top: 0px; margin-bottom: 3px; line-height: 17.5px;""><strong>Wzór nr: 2.1173 (107)</strong></p>
<p class=""opisprzedmiotu"" style=""margin-top: 0px; margin-bottom: 3px; line-height: 17.5px;""> </p>
<ul >
<li>kolor złota: żółte</li>
<li>próba: 333</li>
<li>waga: 0,83-0,85g</li>
<li>wielkość kamienia: 2 mm</li>
<li>ilość kamieni: 1</li>
<li>nazwa kamienia: cyrkonia</li>
<li>wielkość orientacyjna: <br />11,9mm x 4,4mm</li>
<li><span >zapięcie na sztyft </span></li>
<li>rodowany element kolczyka</li>
</ul>";http://www.galerieallegro.pl/zdjecia/z781/7812301/big/1.jpg,http://www.galerieallegro.pl/zdjecia/z781/7812301/big/2.jpg;new;;Kamień:,Kształt:,Materiał:Złoto,Rodzaj bigla:;3
K2.889;AŻUROWY WZÓR Skrzydełka Złote kolczyki 2.889;Kolczyki;248;23;"<p class=""nazwa"" style=""margin: 3px;""><span ><strong>Kolczyki nacinane ażurowe</strong></span></p>
<p class=""nazwa"" style=""margin: 3px;""><span ><strong><br /></strong></span></p>
<p class=""nazwa"" style=""margin: 3px;""><span >Złote kolczyki z charakterem. <br />Bardzo oryginalny i wyrazisty wzór.<br />Posiadają angielskie zapięcie. Prezentują się bardzo atrakcyjnie. <br />Świetnie sprawdzą się jako prezent. </span></p>
<p class=""opisprzedmiotu"" style=""margin-top: 0px; margin-bottom: 3px; line-height: 17.5px;""> </p>
<p class=""opisprzedmiotu"" style=""margin-top: 0px; margin-bottom: 3px; line-height: 17.5px;""><strong>Wzór nr: 2.889 (97)</strong></p>
<p class=""opisprzedmiotu"" style=""margin-top: 0px; margin-bottom: 3px; line-height: 17.5px;""> </p>
<ul >
<li>kolor złota: żółte</li>
<li>próba: 333</li>
<li>waga: 1,53-1,58g</li>
<li>wielkość orientacyjna: 18,3 x 7 mm</li>
</ul>";http://www.galerieallegro.pl/zdjecia/z766/7668487/big/1.jpg,http://www.galerieallegro.pl/zdjecia/z766/7668487/big/2.jpg,http://www.galerieallegro.pl/zdjecia/z766/7668487/big/3.jpg;new;Klasyczne,Rękodzieło,Wyrób jubilerski;Kamień:Bez kamienia,Kształt:,Materiał:Złoto,Rodzaj bigla:Angielski;6
K3.2090;ZŁOTE KOLCZYKI z Cyrkonią Złoto Piękny wzór 3.2090;Kolczyki;288;23;"<p class=""nazwa"" style=""margin: 3px;""><span ><strong>Złote kolczyki z Cyrkonią</strong></span></p>
<p class=""nazwa"" style=""margin: 3px;""> </p>
<p class=""nazwa"" style=""margin: 3px;""><span >Piękne i kobiece kolczyki z kamieniem.<br />Delikatny a zarazem oryginalny wzór z wygodnym, angielskim zapięciem. Prezentują się bardzo atrakcyjnie. <br />Świetnie sprawdzą się jako prezent. </span></p>
<p class=""opisprzedmiotu"" style=""margin-top: 0px; margin-bottom: 3px; line-height: 17.5px;""> </p>
<p class=""opisprzedmiotu"" style=""margin-top: 0px; margin-bottom: 3px; line-height: 17.5px;""><strong >Wzór nr: 3.2090(190)</strong></p>
<p class=""opisprzedmiotu"" style=""margin-top: 0px; margin-bottom: 3px; line-height: 17.5px;""> </p>
<ul >
<li>kolor złota: żółte</li>
<li>próba: 333</li>
<li>waga: 1,71-1,80g</li>
<li>wielkość kamieni: 2,75mm</li>
<li>ilość kamieni w kolczyku: 1</li>
<li>nazwa kamienia: Cyrkonia</li>
<li>rodowany element góry</li>
<li>wielkość orientacyjna: 6 x 17,1 mm</li>
</ul>";http://www.galerieallegro.pl/zdjecia/z840/8409306/big/1.jpg,http://www.galerieallegro.pl/zdjecia/z840/8409306/big/2.jpg,http://www.galerieallegro.pl/zdjecia/z840/8409306/big/3.jpg;new;Klasyczne,Rękodzieło,Wyrób jubilerski;Kamień:Cyrkonia,Kształt:,Materiał:Złoto,Rodzaj bigla:Angielski;3
