ID;size_title;size;quantity
P1.762;Rozmiar:select:0;15:0;10
P1.762;Rozmiar:select:0;13:0;1
P1.762;Rozmiar:select:0;12:0;2
P1.762;Rozmiar:select:0;16:0;3
P1.762;Rozmiar:select:0;18:0;4
P1.762;Rozmiar:select:0;17:0;1
P1.762;Rozmiar:select:0;14:0;2
P1.762;Rozmiar:select:0;19:0;4
P1.762;Rozmiar:select:0;20:0;3
P1.762;Rozmiar:select:0;10:0;3
P1.762;Rozmiar:select:0;11:0;1
P2.1335;Rozmiar:select:0;15:0;11
P2.1335;Rozmiar:select:0;14:0;1
P2.1335;Rozmiar:select:0;17:0;2
P2.1335;Rozmiar:select:0;10:0;1
P2.1335;Rozmiar:select:0;19:0;2
P2.1335;Rozmiar:select:0;20:0;2
P2.1335;Rozmiar:select:0;13:0;2
P2.1335;Rozmiar:select:0;12:0;1
P2.1335;Rozmiar:select:0;11:0;4
P2.1335;Rozmiar:select:0;16:0;2
P2.1335;Rozmiar:select:0;18:0;1
P1.114;Rozmiar:select:0;10:0;4
P1.114;Rozmiar:select:0;13:0;2
P1.114;Rozmiar:select:0;14:0;3
P1.114;Rozmiar:select:0;12:0;2
P1.114;Rozmiar:select:0;11:0;1
P1.114;Rozmiar:select:0;15:0;1
P1.114;Rozmiar:select:0;18:0;1
P1.114;Rozmiar:select:0;17:0;1
P1.114;Rozmiar:select:0;16:0;1
P1.114;Rozmiar:select:0;9:0;1
P1.23;Rozmiar:select:0;17:0;7
P1.23;Rozmiar:select:0;15:0;2
P1.23;Rozmiar:select:0;20:0;1
P1.23;Rozmiar:select:0;12:0;1
P1.23;Rozmiar:select:0;11:0;3
P1.23;Rozmiar:select:0;16:0;3
P1.23;Rozmiar:select:0;19:0;4
P1.23;Rozmiar:select:0;18:0;2
P1.23;Rozmiar:select:0;13:0;2
P1.23;Rozmiar:select:0;14:0;2
P1.23;Rozmiar:select:0;9:0;1
P1.23;Rozmiar:select:0;8:0;1
P1.23;Rozmiar:select:0;10:0;2
P2.1067;Rozmiar:select:0;17:0;5
P2.1067;Rozmiar:select:0;16:0;2
P2.1067;Rozmiar:select:0;15:0;1
P2.1067;Rozmiar:select:0;12:0;2
P2.1067;Rozmiar:select:0;14:0;2
P2.1067;Rozmiar:select:0;13:0;1
P2.1067;Rozmiar:select:0;18:0;1
P2.1125;Rozmiar:select:0;16:0;8
P2.1125;Rozmiar:select:0;14:0;1
P2.1125;Rozmiar:select:0;12:0;2
P2.1125;Rozmiar:select:0;10:0;2
P2.1125;Rozmiar:select:0;13:0;3
P2.1125;Rozmiar:select:0;11:0;1
P2.1283;Rozmiar:select:0;14:0;8
P2.1283;Rozmiar:select:0;16:0;2
P2.1283;Rozmiar:select:0;12:0;2
P2.1283;Rozmiar:select:0;18:0;2
P2.1283;Rozmiar:select:0;13:0;1
P2.1283;Rozmiar:select:0;15:0;4
P2.1283;Rozmiar:select:0;11:0;3
P2.1283;Rozmiar:select:0;17:0;3
P2.1283;Rozmiar:select:0;19:0;1
P2.1283;Rozmiar:select:0;20:0;1
P2.1283;Rozmiar:select:0;21:0;2
P3.1526;Rozmiar:select:0;13:0;14
P3.1526;Rozmiar:select:0;17:0;3
P3.1526;Rozmiar:select:0;14:0;1
P3.1526;Rozmiar:select:0;10:0;1
P3.1526;Rozmiar:select:0;18:0;1
P3.1526;Rozmiar:select:0;16:0;1
P3.1526;Rozmiar:select:0;12:0;1
P3.1526;Rozmiar:select:0;15:0;2
P3.1565;Rozmiar:select:0;18:0;2
P3.1565;Rozmiar:select:0;16:0;1
P3.1565;Rozmiar:select:0;10:0;1
P3.1565;Rozmiar:select:0;17:0;1
P3.1565;Rozmiar:select:0;12:0;1
P3.1565;Rozmiar:select:0;15:0;1
P3.1565;Rozmiar:select:0;11:0;1
P3.1565;Rozmiar:select:0;13:0;2
P3.1565;Rozmiar:select:0;14:0;2
P3.1565;Rozmiar:select:0;19:0;2
P3.1565;Rozmiar:select:0;20:0;1
P1.366;Rozmiar:select:0;18:0;16
P1.366;Rozmiar:select:0;17:0;1
P1.366;Rozmiar:select:0;12:0;1
P1.366;Rozmiar:select:0;19:0;1
P1.366;Rozmiar:select:0;13:0;1
P1.366;Rozmiar:select:0;11:0;1
P1.366;Rozmiar:select:0;16:0;2
P1.366;Rozmiar:select:0;20:0;3
P1.366;Rozmiar:select:0;14:0;2
P1.366;Rozmiar:select:0;15:0;1
P3.1501;Rozmiar:select:0;17:0;1
P3.1501;Rozmiar:select:0;16:0;1
P3.1501;Rozmiar:select:0;18:0;1
P3.1501;Rozmiar:select:0;19:0;1
P3.1501;Rozmiar:select:0;11:0;1
P3.1501;Rozmiar:select:0;15:0;1
P3.1501;Rozmiar:select:0;13:0;1
P3.1501;Rozmiar:select:0;12:0;1
P3.1501;Rozmiar:select:0;14:0;1
P3.1501;Rozmiar:select:0;20:0;1
P3.1292;Rozmiar:select:0;14:0;1
P3.1292;Rozmiar:select:0;17:0;1
P3.1292;Rozmiar:select:0;15:0;1
P1.137;Rozmiar:select:0;11:0;1
P1.137;Rozmiar:select:0;14:0;1
P1.137;Rozmiar:select:0;16:0;1
P1.137;Rozmiar:select:0;19:0;1
P1.137;Rozmiar:select:0;18:0;1
P1.137;Rozmiar:select:0;10:0;2
P1.137;Rozmiar:select:0;12:0;1
P1.137;Rozmiar:select:0;13:0;1
P2.982;Rozmiar:select:0;18:0;1
P2.982;Rozmiar:select:0;12:0;10
P2.982;Rozmiar:select:0;16:0;1
P2.982;Rozmiar:select:0;10:0;2
P2.982;Rozmiar:select:0;13:0;3
P2.982;Rozmiar:select:0;11:0;2
P2.982;Rozmiar:select:0;14:0;2
P2.982;Rozmiar:select:0;17:0;2
P2.982;Rozmiar:select:0;14:0;1
P2.982;Rozmiar:select:0;15:0;5
P2.982;Rozmiar:select:0;19:0;5
P2.982;Rozmiar:select:0;20:0;4
P2.1033;Rozmiar:select:0;12:0;2
P2.1033;Rozmiar:select:0;14:0;1
P2.1033;Rozmiar:select:0;18:0;1
P2.1033;Rozmiar:select:0;17:0;1
P2.1033;Rozmiar:select:0;19:0;1
P2.1033;Rozmiar:select:0;16:0;1
P2.1033;Rozmiar:select:0;10:0;1
P3.1302;Rozmiar:select:0;14:0;1
P3.1302;Rozmiar:select:0;12:0;3
P3.1302;Rozmiar:select:0;16:0;2
P3.1302;Rozmiar:select:0;18:0;2
P3.1302;Rozmiar:select:0;10:0;2
P3.1302;Rozmiar:select:0;13:0;2
P3.1502;Rozmiar:select:0;14:0;1
P3.1502;Rozmiar:select:0;19:0;8
P3.1502;Rozmiar:select:0;16:0;2
P3.1502;Rozmiar:select:0;17:0;1
P3.1502;Rozmiar:select:0;11:0;1
P3.1502;Rozmiar:select:0;13:0;1
P3.1502;Rozmiar:select:0;15:0;1
P3.1502;Rozmiar:select:0;20:0;1
P3.1502;Rozmiar:select:0;18:0;1
P3.1502;Rozmiar:select:0;12:0;1
P2.1296;Rozmiar:select:0;17:0;1
P2.1296;Rozmiar:select:0;19:0;1
P2.1296;Rozmiar:select:0;11:0;4
P2.1296;Rozmiar:select:0;12:0;13
P2.1296;Rozmiar:select:0;16:0;2
P2.1296;Rozmiar:select:0;14:0;2
P2.1296;Rozmiar:select:0;10:0;1
P2.1296;Rozmiar:select:0;15:0;2
P2.1296;Rozmiar:select:0;13:0;2
P2.1296;Rozmiar:select:0;18:0;1
P2.512;Rozmiar:select:0;19:0;1
P2.512;Rozmiar:select:0;18:0;9
P2.512;Rozmiar:select:0;12:0;2
P2.512;Rozmiar:select:0;13:0;2
P2.512;Rozmiar:select:0;10:0;2
P2.512;Rozmiar:select:0;11:0;2
P2.512;Rozmiar:select:0;14:0;2
P2.512;Rozmiar:select:0;16:0;2
P2.512;Rozmiar:select:0;15:0;2
P2.512;Rozmiar:select:0;17:0;2
P2.1372;Rozmiar:select:0;20:0;2
P2.1372;Rozmiar:select:0;19:0;1
P2.1372;Rozmiar:select:0;17:0;1
P2.1372;Rozmiar:select:0;12:0;1
P2.1372;Rozmiar:select:0;21:0;1
P2.1372;Rozmiar:select:0;10:0;1
P2.1372;Rozmiar:select:0;14:0;1
P2.1046;Rozmiar:select:0;14:0;1
P2.1046;Rozmiar:select:0;15:0;2
P2.1046;Rozmiar:select:0;9:0;2
P2.1046;Rozmiar:select:0;13:0;1
P2.1046;Rozmiar:select:0;11:0;2
P2.1046;Rozmiar:select:0;12:0;2
P2.1046;Rozmiar:select:0;17:0;2
P2.1046;Rozmiar:select:0;10:0;2
P2.1046;Rozmiar:select:0;16:0;2
P2.1341;Rozmiar:select:0;14:0;1
P2.1341;Rozmiar:select:0;18:0;1
P2.1341;Rozmiar:select:0;10:0;1
P2.1341;Rozmiar:select:0;13:0;2
P2.1341;Rozmiar:select:0;12:0;1
P2.1341;Rozmiar:select:0;17:0;1
P2.1341;Rozmiar:select:0;19:0;1
P2.1085;Rozmiar:select:0;18:0;1
P2.1085;Rozmiar:select:0;13:0;1
P2.1085;Rozmiar:select:0;17:0;1
P2.1085;Rozmiar:select:0;15:0;1
P2.1085;Rozmiar:select:0;11:0;1
P2.1085;Rozmiar:select:0;16:0;1
P2.1085;Rozmiar:select:0;19:0;1
P1.124;Rozmiar:select:0;12:0;1
P1.124;Rozmiar:select:0;11:0;1
P1.124;Rozmiar:select:0;19:0;1
P1.124;Rozmiar:select:0;18:0;1
P1.124;Rozmiar:select:0;16:0;1
P1.124;Rozmiar:select:0;14:0;1
P1.124;Rozmiar:select:0;9:0;1
P1.124;Rozmiar:select:0;10:0;1
P1.124;Rozmiar:select:0;13:0;1
P2BN;Rozmiar:select:0;15:0;7
P2BN;Rozmiar:select:0;13:0;2
P2BN;Rozmiar:select:0;17:0;3
P2BN;Rozmiar:select:0;11:0;1
P2BN;Rozmiar:select:0;10:0;1
P2BN;Rozmiar:select:0;12:0;2
P2BN;Rozmiar:select:0;14:0;2
P2BN;Rozmiar:select:0;18:0;2
P2BN;Rozmiar:select:0;16:0;2
P2BN;Rozmiar:select:0;19:0;2
P3.1460;Rozmiar:select:0;16:0;9
P3.1460;Rozmiar:select:0;18:0;2
P3.1460;Rozmiar:select:0;9:0;1
P3.1460;Rozmiar:select:0;11:0;1
P3.1460;Rozmiar:select:0;10:0;1
P3.1460;Rozmiar:select:0;13:0;2
P3.1460;Rozmiar:select:0;14:0;1
P3.1460;Rozmiar:select:0;15:0;2
P3.1460;Rozmiar:select:0;17:0;2
P3.1460;Rozmiar:select:0;19:0;1
P3.1460;Rozmiar:select:0;20:0;1
P3.1460;Rozmiar:select:0;12:0;1
P3.1519;Rozmiar:select:0;14:0;10
P3.1519;Rozmiar:select:0;11:0;1
P3.1519;Rozmiar:select:0;10:0;1
P3.1519;Rozmiar:select:0;17:0;1
P3.1552;Rozmiar:select:0;13:0;2
P3.1552;Rozmiar:select:0;17:0;2
P3.1552;Rozmiar:select:0;20:0;1
P3.1552;Rozmiar:select:0;10:0;1
P3.1552;Rozmiar:select:0;18:0;1
P3.1552;Rozmiar:select:0;12:0;2
P3.1552;Rozmiar:select:0;19:0;1
P3.1552;Rozmiar:select:0;15:0;1
P3.1552;Rozmiar:select:0;11:0;1
P3.1552;Rozmiar:select:0;16:0;1
P3.1552;Rozmiar:select:0;14:0;1
P3.1515;Rozmiar:select:0;11:0;7
P3.1515;Rozmiar:select:0;12:0;5
P3.1515;Rozmiar:select:0;16:0;2
P3.1515;Rozmiar:select:0;17:0;3
P3.1515;Rozmiar:select:0;10:0;1
P3.1515;Rozmiar:select:0;15:0;1
P3.1515;Rozmiar:select:0;13:0;2
P3.1561;Rozmiar:select:0;17:0;3
