ID;variation_ID;size_title;size;quantity
P1.762;P1.762-15;Rozmiar:select:0;15:0;10
P1.762;P1.762-13;Rozmiar:select:0;13:0;1
P1.762;P1.762-12;Rozmiar:select:0;12:0;2
P1.762;P1.762-16;Rozmiar:select:0;16:0;3
P1.762;P1.762-18;Rozmiar:select:0;18:0;4
P1.762;P1.762-17;Rozmiar:select:0;17:0;1
P1.762;P1.762-14;Rozmiar:select:0;14:0;2
P1.762;P1.762-19;Rozmiar:select:0;19:0;4
P1.762;P1.762-20;Rozmiar:select:0;20:0;3
P1.762;P1.762-10;Rozmiar:select:0;10:0;3
P1.762;P1.762-11;Rozmiar:select:0;11:0;1
P2.1335;P2.1335-15;Rozmiar:select:0;15:0;11
P2.1335;P2.1335-14;Rozmiar:select:0;14:0;1
P2.1335;P2.1335-17;Rozmiar:select:0;17:0;2
P2.1335;P2.1335-10;Rozmiar:select:0;10:0;1
P2.1335;P2.1335-19;Rozmiar:select:0;19:0;2
P2.1335;P2.1335-20;Rozmiar:select:0;20:0;2
P2.1335;P2.1335-13;Rozmiar:select:0;13:0;2
P2.1335;P2.1335-12;Rozmiar:select:0;12:0;1
P2.1335;P2.1335-11;Rozmiar:select:0;11:0;4
P2.1335;P2.1335-16;Rozmiar:select:0;16:0;2
P2.1335;P2.1335-18;Rozmiar:select:0;18:0;1
P1.114;P1.114-10;Rozmiar:select:0;10:0;4
P1.114;P1.114-13;Rozmiar:select:0;13:0;2
P1.114;P1.114-14;Rozmiar:select:0;14:0;3
P1.114;P1.114-12;Rozmiar:select:0;12:0;2
P1.114;P1.114-11;Rozmiar:select:0;11:0;1
P1.114;P1.114-15;Rozmiar:select:0;15:0;1
P1.114;P1.114-18;Rozmiar:select:0;18:0;1
P1.114;P1.114-17;Rozmiar:select:0;17:0;1
P1.114;P1.114-16;Rozmiar:select:0;16:0;1
P1.114;P1.114-9;Rozmiar:select:0;9:0;1
P1.23;P1.23-17;Rozmiar:select:0;17:0;7
P1.23;P1.23-15;Rozmiar:select:0;15:0;2
P1.23;P1.23-20;Rozmiar:select:0;20:0;1
P1.23;P1.23-12;Rozmiar:select:0;12:0;1
P1.23;P1.23-11;Rozmiar:select:0;11:0;3
P1.23;P1.23-16;Rozmiar:select:0;16:0;3
P1.23;P1.23-19;Rozmiar:select:0;19:0;4
P1.23;P1.23-18;Rozmiar:select:0;18:0;2
P1.23;P1.23-13;Rozmiar:select:0;13:0;2
P1.23;P1.23-14;Rozmiar:select:0;14:0;2
P1.23;P1.23-9;Rozmiar:select:0;9:0;1
P1.23;P1.23-8;Rozmiar:select:0;8:0;1
P1.23;P1.23-10;Rozmiar:select:0;10:0;2
P2.1067;P2.1067-17;Rozmiar:select:0;17:0;5
P2.1067;P2.1067-16;Rozmiar:select:0;16:0;2
P2.1067;P2.1067-15;Rozmiar:select:0;15:0;1
P2.1067;P2.1067-12;Rozmiar:select:0;12:0;2
P2.1067;P2.1067-14;Rozmiar:select:0;14:0;2
P2.1067;P2.1067-13;Rozmiar:select:0;13:0;1
P2.1067;P2.1067-18;Rozmiar:select:0;18:0;1
P2.1125;P2.1125-16;Rozmiar:select:0;16:0;8
P2.1125;P2.1125-14;Rozmiar:select:0;14:0;1
P2.1125;P2.1125-12;Rozmiar:select:0;12:0;2
P2.1125;P2.1125-10;Rozmiar:select:0;10:0;2
P2.1125;P2.1125-13;Rozmiar:select:0;13:0;3
P2.1125;P2.1125-11;Rozmiar:select:0;11:0;1
P2.1283;P2.1283-14;Rozmiar:select:0;14:0;8
P2.1283;P2.1283-16;Rozmiar:select:0;16:0;2
P2.1283;P2.1283-12;Rozmiar:select:0;12:0;2
P2.1283;P2.1283-18;Rozmiar:select:0;18:0;2
P2.1283;P2.1283-13;Rozmiar:select:0;13:0;1
P2.1283;P2.1283-15;Rozmiar:select:0;15:0;4
P2.1283;P2.1283-11;Rozmiar:select:0;11:0;3
P2.1283;P2.1283-17;Rozmiar:select:0;17:0;3
P2.1283;P2.1283-19;Rozmiar:select:0;19:0;1
P2.1283;P2.1283-20;Rozmiar:select:0;20:0;1
P2.1283;P2.1283-21;Rozmiar:select:0;21:0;2
P3.1526;P3.1526-13;Rozmiar:select:0;13:0;14
P3.1526;P3.1526-17;Rozmiar:select:0;17:0;3
P3.1526;P3.1526-14;Rozmiar:select:0;14:0;1
P3.1526;P3.1526-10;Rozmiar:select:0;10:0;1
P3.1526;P3.1526-18;Rozmiar:select:0;18:0;1
P3.1526;P3.1526-16;Rozmiar:select:0;16:0;1
P3.1526;P3.1526-12;Rozmiar:select:0;12:0;1
P3.1526;P3.1526-15;Rozmiar:select:0;15:0;2
P3.1565;P3.1565-18;Rozmiar:select:0;18:0;2
P3.1565;P3.1565-16;Rozmiar:select:0;16:0;1
P3.1565;P3.1565-10;Rozmiar:select:0;10:0;1
P3.1565;P3.1565-17;Rozmiar:select:0;17:0;1
P3.1565;P3.1565-12;Rozmiar:select:0;12:0;1
P3.1565;P3.1565-15;Rozmiar:select:0;15:0;1
P3.1565;P3.1565-11;Rozmiar:select:0;11:0;1
P3.1565;P3.1565-13;Rozmiar:select:0;13:0;2
P3.1565;P3.1565-14;Rozmiar:select:0;14:0;2
P3.1565;P3.1565-19;Rozmiar:select:0;19:0;2
P3.1565;P3.1565-20;Rozmiar:select:0;20:0;1
P1.366;P1.366-18;Rozmiar:select:0;18:0;16
P1.366;P1.366-17;Rozmiar:select:0;17:0;1
P1.366;P1.366-12;Rozmiar:select:0;12:0;1
P1.366;P1.366-19;Rozmiar:select:0;19:0;1
P1.366;P1.366-13;Rozmiar:select:0;13:0;1
P1.366;P1.366-11;Rozmiar:select:0;11:0;1
P1.366;P1.366-16;Rozmiar:select:0;16:0;2
P1.366;P1.366-20;Rozmiar:select:0;20:0;3
P1.366;P1.366-14;Rozmiar:select:0;14:0;2
P1.366;P1.366-15;Rozmiar:select:0;15:0;1
P3.1501;P3.1501-17;Rozmiar:select:0;17:0;1
P3.1501;P3.1501-16;Rozmiar:select:0;16:0;1
P3.1501;P3.1501-18;Rozmiar:select:0;18:0;1
P3.1501;P3.1501-19;Rozmiar:select:0;19:0;1
P3.1501;P3.1501-11;Rozmiar:select:0;11:0;1
P3.1501;P3.1501-15;Rozmiar:select:0;15:0;1
P3.1501;P3.1501-13;Rozmiar:select:0;13:0;1
P3.1501;P3.1501-12;Rozmiar:select:0;12:0;1
P3.1501;P3.1501-14;Rozmiar:select:0;14:0;1
P3.1501;P3.1501-20;Rozmiar:select:0;20:0;1
P3.1292;P3.1292-14;Rozmiar:select:0;14:0;1
P3.1292;P3.1292-17;Rozmiar:select:0;17:0;1
P3.1292;P3.1292-15;Rozmiar:select:0;15:0;1
P1.137;P1.137-11;Rozmiar:select:0;11:0;1
P1.137;P1.137-14;Rozmiar:select:0;14:0;1
P1.137;P1.137-16;Rozmiar:select:0;16:0;1
P1.137;P1.137-19;Rozmiar:select:0;19:0;1
P1.137;P1.137-18;Rozmiar:select:0;18:0;1
P1.137;P1.137-10;Rozmiar:select:0;10:0;2
P1.137;P1.137-12;Rozmiar:select:0;12:0;1
P1.137;P1.137-13;Rozmiar:select:0;13:0;1
P2.982;P2.982-18;Rozmiar:select:0;18:0;1
P2.982;P2.982-12;Rozmiar:select:0;12:0;10
P2.982;P2.982-16;Rozmiar:select:0;16:0;1
P2.982;P2.982-10;Rozmiar:select:0;10:0;2
P2.982;P2.982-13;Rozmiar:select:0;13:0;3
P2.982;P2.982-11;Rozmiar:select:0;11:0;2
P2.982;P2.982-14;Rozmiar:select:0;14:0;2
P2.982;P2.982-17;Rozmiar:select:0;17:0;2
P2.982;P2.982-14;Rozmiar:select:0;14:0;1
P2.982;P2.982-15;Rozmiar:select:0;15:0;5
P2.982;P2.982-19;Rozmiar:select:0;19:0;5
P2.982;P2.982-20;Rozmiar:select:0;20:0;4
P2.1033;P2.1033-12;Rozmiar:select:0;12:0;2
P2.1033;P2.1033-14;Rozmiar:select:0;14:0;1
P2.1033;P2.1033-18;Rozmiar:select:0;18:0;1
P2.1033;P2.1033-17;Rozmiar:select:0;17:0;1
P2.1033;P2.1033-19;Rozmiar:select:0;19:0;1
P2.1033;P2.1033-16;Rozmiar:select:0;16:0;1
P2.1033;P2.1033-10;Rozmiar:select:0;10:0;1
P3.1302;P3.1302-14;Rozmiar:select:0;14:0;1
P3.1302;P3.1302-12;Rozmiar:select:0;12:0;3
P3.1302;P3.1302-16;Rozmiar:select:0;16:0;2
P3.1302;P3.1302-18;Rozmiar:select:0;18:0;2
P3.1302;P3.1302-10;Rozmiar:select:0;10:0;2
P3.1302;P3.1302-13;Rozmiar:select:0;13:0;2
P3.1502;P3.1502-14;Rozmiar:select:0;14:0;1
P3.1502;P3.1502-19;Rozmiar:select:0;19:0;8
P3.1502;P3.1502-16;Rozmiar:select:0;16:0;2
P3.1502;P3.1502-17;Rozmiar:select:0;17:0;1
P3.1502;P3.1502-11;Rozmiar:select:0;11:0;1
P3.1502;P3.1502-13;Rozmiar:select:0;13:0;1
P3.1502;P3.1502-15;Rozmiar:select:0;15:0;1
P3.1502;P3.1502-20;Rozmiar:select:0;20:0;1
P3.1502;P3.1502-18;Rozmiar:select:0;18:0;1
P3.1502;P3.1502-12;Rozmiar:select:0;12:0;1
P2.1296;P2.1296-17;Rozmiar:select:0;17:0;1
P2.1296;P2.1296-19;Rozmiar:select:0;19:0;1
