ID;price;quantity
W2.802;129;12
K3.2353;99;9
K3.2312;259;5
K3.2123;249;5
K1.188;245;3
K3.2343;99;3
W2.991;93;9
K2.1173;139;3
K2.889;248;5
K3.2090;288;2
K1.235;219;6
W3.2335;129;4
W3.2340;194;3
W2.1335;119;12
W2.1203;118;4
W2.1181;175;4
K3.2332;169;3
K3.2332;169;3
K3.2347;82;2
K1.815c;159;1
K1.815c;159;2
K1.815c;159;2
K1.815c;159;3
K3.2333;255;4
K3.2304;209;5
K1.24;296;4
K2.923;159;4
K3.2275;239;4
K1.160;216;5
W3.2334;159;5
W1.179;169;5
W1.178;149;5
W2.1207;169;5
W3.2341;136;6
W3.2274;205;4
W2.803;119;5
W3.2342;199;5
W3.2338;169;5
W3.2337;166;5
W3.2339;209;5
W3.2336;169;4
W2.829;179;5
W2.804;165;5
W2.1185;179;6
W2.798;185;5
W2.1009;239;4
W2.1182;189;6
W1.824;339;3
K1.753;179;2
K3.2276;289;5
K3.2299;239;5
K3.2300;299;4
K3.2277;128;3
K1.79;144;4
K2.1174;149;5
K2.1179;169;4
K1.561;136;3
K1.709;389;2
K3.2330;230;5
K2.1094;149;6
K1.60;409;2
K1.815b;329;4
K3.2344;159;5
K3.2354;169;3
K1.242;229;5
K1.338;179;4
K3.2306;219;4
K1.753D;279;2
K3.2305;296;5
K3.2301;259;7
K1.240;199;6
K3.2092;269;4
W2.799;209;6
K3.2380;159;10
K3.2376;179;5
K3.2366;179;5
K3.2388;399;4
K3.2386;279;5
K3.2382;159;5
