"web-scraper-order";"foto1,foto2";"produkt";"kod";"opis";"foto1";"foto2";"foto3";"foto4";"waga";"kategoria";"cena"
"1521779714-276";"https://sklep.bestdiamonds.pl/userdata/gfx/9c51cc81522e4d8e1ab1e99761cdbe43.jpg,https://sklep.bestdiamonds.pl/userdata/gfx/20cfcf0f6dc6c25d76e55652d8c72755.jpg";"Pierścionek EY-222B 0,30ct";"EY-222B 0,30ct";"Brylant 0,30ct H/Si";"/userdata/gfx/9c51cc81522e4d8e1ab1e99761cdbe43.jpg";"/userdata/gfx/20cfcf0f6dc6c25d76e55652d8c72755.jpg";"/userdata/gfx/222ae78ad330b4de1ad74b2feeded6f5.jpg";"/userdata/gfx/9b4c3850c3637dc16f7c3257271e0fd2.jpg";"Waga: 2,10 - 2,50g";"z brylantami";"1960"
"1521779493-171";"https://sklep.bestdiamonds.pl/userdata/gfx/ae7b59a7d948b1077e311177b4ca2933.jpg,https://sklep.bestdiamonds.pl/userdata/gfx/f815247c225fe303a1c2c4940c228f1a.jpg";"Pierścionek EY-294 0,10ct";"EY-294 0,10ct";"Brylant 0,10ct H/Si";"/userdata/gfx/ae7b59a7d948b1077e311177b4ca2933.jpg";"/userdata/gfx/f815247c225fe303a1c2c4940c228f1a.jpg";"/userdata/gfx/818103d341b63b35c3c714121fc3e3c1.jpg";"/userdata/gfx/8b3408dd2e3e048cf5c30e132e76bd24.jpg";"Waga: 2,40 - 2,80g";"z brylantami";"650"
"1521779902-363";"https://sklep.bestdiamonds.pl/userdata/gfx/33404377927896b0622139eddb33b9e5.jpg,https://sklep.bestdiamonds.pl/userdata/gfx/e169f49eed6f04d8f3cc6a515da90ba9.jpg";"Pierścionek EY-158 0,05ct";"EY-158 0,05ct";"Brylant 0,05ct H/Si";"/userdata/gfx/33404377927896b0622139eddb33b9e5.jpg";"/userdata/gfx/e169f49eed6f04d8f3cc6a515da90ba9.jpg";"/userdata/gfx/13b2d919146e2ab318d1fbf9a315d058.jpg";"/userdata/gfx/3dfac02034acba21ae216c144c3b625a.jpg";"Waga: 1,30 - 1,70g";"z brylantami";"450"
"1521779646-244";"https://sklep.bestdiamonds.pl/userdata/gfx/5b9e43072d8ffeacec1d499d7e97752b.jpg,https://sklep.bestdiamonds.pl/userdata/gfx/aac2016f4db6b914ef747d59f702c849.jpg";"Pierścionek EY-234 0,25ct";"EY-234 0,25ct";"Brylant 0,25ct H/Si";"/userdata/gfx/5b9e43072d8ffeacec1d499d7e97752b.jpg";"/userdata/gfx/aac2016f4db6b914ef747d59f702c849.jpg";"/userdata/gfx/17a32fc3846906faca5c0a94a6d67e58.jpg";"/userdata/gfx/7a096bc685a2a416642e77af5070579c.jpg";"Waga: 2,20 - 2,60g";"z brylantami";"1550"
"1521780215-507";"https://sklep.bestdiamonds.pl/userdata/gfx/135347417c68fd6de48e2f4ca692d525.jpg,https://sklep.bestdiamonds.pl/userdata/gfx/2fe38a10f8a0fa4aa9a8934416813b46.jpg";"Pierścionek EY-361 0,08ct";"EY-361 0,08ct";"Brylant 0,08ct H/Si";"/userdata/gfx/135347417c68fd6de48e2f4ca692d525.jpg";"/userdata/gfx/2fe38a10f8a0fa4aa9a8934416813b46.jpg";"/userdata/gfx/2f034b206fab7b34b207abf19a7a13ca.jpg";"/userdata/gfx/dabf6c90d492eb960864420120e8724c.jpg";"Waga: 2,20 - 2,60g";"z brylantami";"600"
"1521779164-17";"https://sklep.bestdiamonds.pl/userdata/gfx/750a7c11878e6c656f569c9eb6bc81de.jpg,https://sklep.bestdiamonds.pl/userdata/gfx/9c90171c2d307c9bf03d85b6cb4ef65c.jpg";"Pierścionek EY-84 oliwin";"EY-84 oliwin";"Kamień centralny: oliwin 0,60 ct
Kamienie boczne: brylanty 0,05 ct H/Si";"/userdata/gfx/750a7c11878e6c656f569c9eb6bc81de.jpg";"/userdata/gfx/9c90171c2d307c9bf03d85b6cb4ef65c.jpg";"/userdata/gfx/4a2b5055332e52c4f5da12f9a503e3d9.jpg";"/userdata/gfx/803303675cf6bea0893e31b065654476.jpg";"Waga: 1,50 - 1,90g";"z oliwinem";"480"
"1521779670-255";"https://sklep.bestdiamonds.pl/userdata/gfx/02402fdfae807e7cb7761b8eb3a8baa4.jpg,https://sklep.bestdiamonds.pl/userdata/gfx/d82e770f7d3cea11ca34830300a5900b.jpg";"Pierścionek EY-229B 0,30ct";"EY-229B 0,30ct";"Brylant 0,30ct H/Si";"/userdata/gfx/02402fdfae807e7cb7761b8eb3a8baa4.jpg";"/userdata/gfx/d82e770f7d3cea11ca34830300a5900b.jpg";"/userdata/gfx/50ba2167d98d6ea3e538689ec5db4792.jpg";"/userdata/gfx/717f64260d8837fc65d4c358aa61b285.jpg";"Waga: 2,20 - 2,60g";"z brylantami";"1960"
"1521779297-80";"https://sklep.bestdiamonds.pl/userdata/gfx/3ceee65a97f97fe23e4559fa989a0e21.jpg,https://sklep.bestdiamonds.pl/userdata/gfx/990d2a9f9aef1077a0a2bcfa71b8e6db.jpg";"Pierścionek EY-5 tanzanit";"EY-5 tanzanit";"Kamień centralny: tanzanit 0,40 ct
Kamienie boczne: brylanty 0,05 ct H/Si";"/userdata/gfx/3ceee65a97f97fe23e4559fa989a0e21.jpg";"/userdata/gfx/990d2a9f9aef1077a0a2bcfa71b8e6db.jpg";"/userdata/gfx/b870553c1351c8138c054fd44d898cb1.jpg";"/userdata/gfx/1f3a20e2882fadc9830ddaa7a2080251.jpg";"Waga: 1,70 - 2,10g";"z tanzanitem";"600"
"1521780183-492";"https://sklep.bestdiamonds.pl/userdata/gfx/4068a281c83b1692cd0b3737bdca30e2.jpg,https://sklep.bestdiamonds.pl/userdata/gfx/a4ad6509a4d3934b4a0c287ab24d0cb6.jpg";"Pierścionek EY-375 0,23ct";"EY-375 0,23ct";"Brylant 0,23ct H/Si";"/userdata/gfx/4068a281c83b1692cd0b3737bdca30e2.jpg";"/userdata/gfx/a4ad6509a4d3934b4a0c287ab24d0cb6.jpg";"/userdata/gfx/ac6938f777edd753031c4a92313376d4.jpg";"/userdata/gfx/4a610052589f081c4f4b9cddf8a9f0f5.jpg";"Waga: 1,60 - 2,00g";"z brylantami";"1430"
"1521779578-211";"https://sklep.bestdiamonds.pl/userdata/gfx/ae0fd4f907bb4121b3f94c4563cb1d19.jpg,https://sklep.bestdiamonds.pl/userdata/gfx/504e43e9973d70a261aed2a5992d3d65.jpg";"Pierścionek EY-263 0,15ct";"EY-263 0,15ct";"Brylant 0,15ct H/Si";"/userdata/gfx/ae0fd4f907bb4121b3f94c4563cb1d19.jpg";"/userdata/gfx/504e43e9973d70a261aed2a5992d3d65.jpg";"/userdata/gfx/cb3dc673ef78945478061e93300f97e3.jpg";"/userdata/gfx/bf241bc2b47f1525d90c26b73b704ecf.jpg";"Waga: 2,10 - 2,50g";"z brylantami";"920"
